mod_id,det_id,hit_time
     3,     1,    287893
     3,     0,    440237
     3,     0,    605273
     3,     3,    605284
     3,     2,    605284
     3,     1,    605290
     3,     4,    605300
     3,     0,    644874
     3,     3,    644882
     3,     4,    644901
     3,     0,    762822
     3,     3,    762835
     3,     2,    762835
     3,     4,    762852
     3,     0,   1119602
     3,     1,   1119620
     3,     4,   1119632
     3,     0,   1516344
     3,     3,   1516353
     3,     1,   1516360
     3,     2,   1516363
     3,     4,   1516374
     3,     0,   1591324
     3,     3,   1591333
     3,     4,   1591352
     3,     4,   2036421
     3,     1,   2580432
     3,     2,   2908959
     3,     3,   3038032
     3,     3,   3502226
     3,     1,   3890173
     3,     4,   3890179
     3,     3,   3943663
     3,     4,   3943683
     3,     2,   4584576
     3,     0,   5025523
     3,     3,   5025531
     3,     2,   5025536
     3,     1,   5025539
     3,     4,   5025549
     3,     0,   5156622
     3,     4,   5156650
     3,     0,   5869594
     3,     3,   5869606
     3,     1,   5869611
     3,     4,   5869621
     3,     0,   6477524
     3,     3,   6477534
     3,     2,   6477538
     3,     1,   6477546
     3,     4,   6477553
     3,     2,   6743695
     3,     0,   6783052
     3,     0,   6980575
     3,     3,   6980585
     3,     1,   6980589
     3,     2,   6980590
     3,     4,   6980601
     3,     0,   7154694
     3,     3,   7154703
     3,     2,   7154713
     3,     1,   7154715
     3,     4,   7154724
     3,     2,   7428810
     3,     1,   7428812
     3,     3,   8232395
     3,     1,   8232399
     3,     4,   8232411
     3,     2,   8469555
     3,     2,   8640156
     3,     1,   8706970
     3,     4,   8706983
     3,     0,   8754102
     3,     3,   8754116
     3,     2,   8754120
     3,     1,   8754123
     3,     4,   8754128
     3,     0,   8898113
     3,     3,   8898123
     3,     2,   8898126
     3,     1,   8898132
     3,     4,   8898141
     3,     2,   9497220
     3,     4,   9497233
     3,     0,   9745173
     3,     3,   9745180
     3,     2,   9745188
     3,     1,   9745195
     3,     4,   9745198
     3,     3,   9790904
     3,     1,   9790912
     3,     4,   9790919
     3,     4,  10224050
     3,     2,  10384798
     3,     0,  10475823
     3,     3,  10475832
     3,     4,  10475853
     3,     3,  10477405
     3,     2,  10477406
     3,     1,  10477414
     3,     3,  10728648
     3,     2,  10728648
     3,     4,  10728660
     3,     0,  11023851
     3,     2,  11023865
     3,     3,  11023867
     3,     1,  11023871
     3,     0,  11065466
     3,     1,  11065484
     3,     4,  11065493
     3,     0,  11176207
     3,     2,  11176218
     3,     1,  11176222
     3,     0,  11351065
     3,     3,  11351074
     3,     2,  11351078
     3,     1,  11351080
     3,     4,  11351091
     3,     1,  11409281
     3,     0,  11452537
     3,     1,  11452555
     3,     3,  11825363
     3,     1,  11825376
     3,     0,  11953212
     3,     2,  12569315
     3,     1,  12569320
     3,     4,  12569332
     3,     3,  12592711
     3,     3,  12747711
     3,     2,  12747717
     3,     1,  12747720
     3,     4,  12747732
     3,     3,  12758653
     3,     0,  12909492
     3,     3,  12909504
     3,     2,  12909508
     3,     1,  12909515
     3,     4,  12909523
     3,     0,  13513563
     3,     0,  13790173
     3,     3,  13790184
     3,     2,  13790189
     3,     1,  13790192
     3,     4,  13790200
     3,     1,  13808714
     3,     0,  13948714
     3,     2,  13948728
     3,     1,  14121830
     3,     4,  14121840
     3,     0,  15029406
     3,     2,  15029419
     3,     1,  15029425
     3,     4,  15029429
     3,     3,  15787744
     3,     1,  15787751
     3,     0,  16206622
     3,     3,  16206634
     3,     2,  16206639
     3,     1,  16206642
     3,     4,  16206652
     3,     0,  17136372
     3,     3,  17136383
     3,     2,  17136387
     3,     4,  17136400
     3,     0,  17179750
     3,     3,  17179767
     3,     1,  17179769
     3,     4,  17179783
     3,     1,  18097395
     3,     0,  18225215
     3,     3,  18225225
     3,     1,  18225232
     3,     0,  18737185
     3,     4,  18737210
     3,     0,  18801083
     3,     3,  18801096
     3,     2,  18801097
     3,     0,  19053165
     3,     1,  19053181
     3,     0,  19427312
     3,     1,  19427331
     3,     4,  19650480
     3,     0,  19966303
     3,     2,  19966319
     3,     3,  19994236
     3,     2,  19994236
     3,     1,  19994242
     3,     4,  19994253
     3,     3,  20562924
     3,     1,  20562930
     3,     3,  21319884
     3,     2,  21319887
     3,     0,  21398436
     3,     3,  21398443
     3,     1,  21398452
     3,     2,  21499048
     3,     4,  21988688
     3,     0,  22047425
     3,     3,  22047433
     3,     1,  22047440
     3,     4,  22047456
     3,     3,  22052763
     3,     4,  22068489
     3,     0,  22235392
     3,     3,  22235405
     3,     2,  22235406
     3,     1,  22235411
     3,     4,  22235421
     3,     0,  22241593
     3,     2,  22386636
     3,     3,  22601674
     3,     2,  22601679
     3,     4,  22601692
     3,     0,  23043865
     3,     3,  23043873
     3,     2,  23043879
     3,     1,  23043881
     3,     4,  23043890
     3,     0,  23061515
     3,     3,  23061524
     3,     2,  23061526
     3,     1,  23061532
     3,     4,  23061542
     3,     2,  23243028
     3,     0,  23261993
     3,     3,  23262001
     3,     2,  23262008
     3,     1,  23262012
     3,     4,  23262022
     3,     2,  23294626
     3,     1,  23294632
     3,     4,  23294640
     3,     3,  23331551
     3,     3,  23493784
     3,     2,  23493791
     3,     1,  23493791
     3,     4,  23493803
     3,     1,  23754192
     3,     4,  23754200
     3,     0,  23818734
     3,     2,  23818748
     3,     0,  24724201
     3,     2,  24724219
     3,     1,  24724223
     3,     4,  24724230
     3,     3,  24765684
     3,     2,  24765692
     3,     3,  24790914
     3,     2,  24790919
     3,     4,  24790932
     3,     0,  24954041
     3,     3,  24954054
     3,     2,  24954056
     3,     1,  24954064
     3,     0,  25385665
     3,     3,  25385671
     3,     2,  25385675
     3,     1,  25385681
     3,     4,  25385693
     3,     4,  25725081
     3,     3,  25767502
     3,     4,  25767521
     3,     4,  25824839
     3,     0,  25897334
     3,     3,  25897342
     3,     2,  25897349
     3,     4,  25897362
     3,     0,  25939104
     3,     3,  25939114
     3,     2,  25939116
     3,     1,  25939120
     3,     4,  25939134
     3,     0,  25964944
     3,     3,  25964952
     3,     2,  25964961
     3,     1,  25964961
     3,     4,  25964975
     3,     0,  26054895
     3,     3,  26054906
     3,     1,  26054913
     3,     4,  26054918
     3,     0,  26057328
     3,     3,  26057334
     3,     2,  26057341
     3,     4,  26057353
     3,     1,  26226263
     3,     3,  26258132
     3,     2,  26258139
     3,     1,  26258143
     3,     0,  26406594
     3,     3,  26406605
     3,     2,  26406607
     3,     0,  26466391
     3,     3,  26466401
     3,     2,  26466406
     3,     4,  26466422
     3,     4,  26520001
     3,     0,  26599517
     3,     1,  26599531
     3,     2,  26749631
     3,     4,  26749642
     3,     0,  27528402
     3,     3,  27528414
     3,     2,  27528420
     3,     1,  27528423
     3,     4,  27528434
     3,     0,  27921328
     3,     2,  27921338
     3,     1,  27921340
     3,     4,  27921353
     3,     0,  27984724
     3,     3,  27984735
     3,     2,  27984741
     3,     1,  27984741
     3,     4,  27984752
     3,     0,  28012803
     3,     2,  28012821
     3,     4,  28012832
     3,     0,  28906594
     3,     2,  28906607
     3,     3,  28919735
     3,     1,  28919741
     3,     3,  29186322
     3,     1,  29186335
     3,     4,  29186338
     3,     3,  29658661
     3,     4,  29658679
     3,     0,  29935877
     3,     3,  29935886
     3,     2,  29935887
     3,     4,  29935900
     3,     2,  30117724
     3,     1,  30117734
     3,     0,  30732013
     3,     1,  30732034
     3,     3,  31045605
     3,     4,  31045623
     3,     4,  31250720
     3,     0,  31301253
     3,     3,  31301265
     3,     1,  31301270
     3,     2,  31301271
     3,     4,  31301279
     3,     1,  31318102
     3,     3,  31623795
     3,     2,  31623796
     3,     1,  31623803
     3,     4,  31623810
     3,     0,  31686154
     3,     3,  31686162
     3,     2,  31686166
     3,     3,  31762493
     3,     1,  31762500
     3,     4,  31762512
     3,     0,  31803841
     3,     4,  31803868
     3,     0,  31837518
     3,     1,  31837532
     3,     4,  31837541
     3,     2,  31941705
     3,     3,  31941707
     3,     0,  32082672
     3,     2,  32082690
     3,     4,  32082700
     3,     1,  32467483
     3,     0,  32483383
     3,     3,  32483395
     3,     1,  32483403
     3,     3,  32551208
     3,     2,  32551209
     3,     1,  32551213
     3,     0,  32691075
     3,     3,  32691084
     3,     2,  32691088
     3,     1,  32691092
     3,     4,  32691100
     3,     0,  33345446
     3,     3,  33345455
     3,     1,  33345460
     3,     2,  33345461
     3,     4,  33345468
     3,     2,  33421615
     3,     1,  33421620
     3,     2,  33971205
     3,     3,  33971207
     3,     1,  33971213
     3,     3,  33993822
     3,     1,  33993832
     3,     2,  34093797
     3,     1,  34093803
     3,     4,  34093809
     3,     0,  34230856
     3,     3,  34230865
     3,     2,  34230869
     3,     1,  34230869
     3,     4,  34230880
     3,     0,  34240323
     3,     3,  34240333
     3,     2,  34240338
     3,     1,  34240340
     3,     4,  34240351
     3,     0,  34735103
     3,     4,  34747499
     3,     0,  35045522
     3,     3,  35045533
     3,     0,  35206663
     3,     3,  35206674
     3,     2,  35206675
     3,     1,  35206687
     3,     4,  35206692
     3,     0,  35222403
     3,     3,  35222413
     3,     2,  35222415
     3,     4,  35222431
     3,     0,  35781825
     3,     3,  35781836
     3,     1,  35781840
     3,     4,  35781849
     3,     3,  36389425
     3,     1,  36389431
     3,     3,  37046946
     3,     2,  37146368
     3,     0,  37288034
     3,     3,  37288042
     3,     2,  37288046
     3,     1,  37288054
     3,     4,  37288060
     3,     1,  37319261
     3,     0,  37332031
     3,     3,  37332044
     3,     2,  37332048
     3,     1,  37332052
     3,     4,  37332061
     3,     4,  37625021
     3,     0,  37756548
     3,     3,  37756552
     3,     2,  37756557
     3,     4,  37756570
     3,     0,  38044232
     3,     4,  38044263
     3,     0,  38144373
     3,     3,  38144383
     3,     2,  38144386
     3,     1,  38144396
     3,     4,  38144402
     3,     2,  38416172
     3,     4,  39429369
     3,     0,  40226698
     3,     0,  40540718
     3,     2,  40540725
     3,     1,  40540733
     3,     4,  40540740
     3,     4,  40550032
     3,     0,  41834395
     3,     3,  41834405
     3,     2,  41834406
     3,     4,  41834418
     3,     3,  41840706
     3,     2,  41840708
     3,     0,  41912414
     3,     2,  41912427
     3,     1,  41912429
     3,     1,  41936850
     3,     4,  42712054
     3,     2,  43061070
     3,     0,  43404182
     3,     1,  43404204
     3,     4,  43404211
     3,     0,  43468076
     3,     1,  43859570
     3,     3,  43932685
     3,     4,  43932698
     3,     0,  43935531
     3,     4,  43935562
     3,     4,  43964214
     3,     0,  44728615
     3,     3,  44728622
     3,     2,  44728624
     3,     1,  44728630
     3,     4,  44728642
     3,     2,  44973676
     3,     0,  45342845
     3,     3,  45342853
     3,     2,  45342857
     3,     1,  45342865
     3,     4,  45342870
     3,     3,  45396176
     3,     3,  45841714
     3,     1,  45841722
     3,     0,  45984067
     3,     1,  46060833
     3,     0,  46170598
     3,     3,  46305227
     3,     2,  46305227
     3,     1,  46305233
     3,     0,  46327265
     3,     3,  46327273
     3,     4,  46327291
     3,     4,  46686381
     3,     1,  47005993
     3,     4,  47006000
     3,     1,  47404409
     3,     4,  47404423
     3,     2,  47593477
     3,     1,  47593481
     3,     4,  47593494
     3,     3,  47691917
     3,     0,  47834353
     3,     3,  47834361
     3,     2,  47834365
     3,     1,  47834373
     3,     4,  47834382
     3,     0,  48210011
     3,     3,  48210022
     3,     2,  48210027
     3,     1,  48210032
     3,     0,  48403253
     3,     3,  48403263
     3,     2,  48403265
     3,     1,  48403270
     3,     4,  48403281
     3,     0,  48404926
     3,     3,  48404934
     3,     2,  48404936
     3,     1,  48404941
     3,     4,  48404951
     3,     3,  49155792
     3,     1,  49155803
     3,     4,  49155810
     3,     0,  49302542
     3,     3,  49302553
     3,     2,  49302559
     3,     1,  49302564
     3,     4,  49302570
     3,     0,  49773005
     3,     3,  49773013
     3,     2,  49773015
     3,     1,  49773022
     3,     0,  49836674
     3,     3,  49836686
     3,     2,  49836687
     3,     1,  49836692
     3,     4,  49836705
     3,     2,  49884578
     3,     4,  49884591
     3,     0,  50031456
     3,     3,  50656024
     3,     2,  50656027
     3,     1,  50656032
     3,     2,  50935486
     3,     2,  51066679
     3,     1,  51066680
     3,     0,  51517953
     3,     3,  51517964
     3,     2,  51517973
     3,     1,  51517974
     3,     4,  51517983
     3,     0,  51618974
     3,     1,  51618989
     3,     0,  51864373
     3,     3,  51864384
     3,     2,  51864386
     3,     1,  51864391
     3,     4,  51864405
     3,     0,  51912517
     3,     3,  51912525
     3,     2,  51912529
     3,     1,  51912532
     3,     4,  51912539
     3,     3,  52315664
     3,     2,  52315668
     3,     3,  52886444
     3,     2,  52886450
     3,     0,  53282384
     3,     1,  53282400
     3,     0,  53494902
     3,     2,  53494915
     3,     1,  53494921
     3,     0,  53822697
     3,     1,  53822713
     3,     2,  54029607
     3,     1,  54708599
     3,     0,  55011775
     3,     3,  55011784
     3,     2,  55011789
     3,     1,  55011791
     3,     4,  55011800
     3,     0,  55336203
     3,     3,  55336213
     3,     2,  55336220
     3,     0,  55355485
     3,     3,  55355495
     3,     2,  55355497
     3,     4,  55355510
     3,     3,  55446413
     3,     0,  55795684
     3,     3,  55795696
     3,     1,  55795700
     3,     2,  55795702
     3,     4,  55795714
     3,     0,  55999252
     3,     3,  55999263
     3,     2,  55999268
     3,     1,  55999271
     3,     4,  55999278
     3,     0,  57269382
     3,     4,  57269413
     3,     4,  57668441
     3,     3,  57737735
     3,     1,  57737739
     3,     2,  58094662
     3,     0,  58599584
     3,     1,  58599601
     3,     3,  58883765
     3,     2,  58883765
     3,     0,  59544300
     3,     2,  59544319
     3,     0,  59559613
     3,     3,  59559621
     3,     2,  59559629
     3,     1,  59559630
     3,     4,  59559637
     3,     0,  60274616
     3,     3,  60274626
     3,     2,  60274626
     3,     1,  60274630
     3,     4,  60274638
     3,     0,  60348703
     3,     2,  60348716
     3,     3,  60348718
     3,     1,  60348720
     3,     0,  60449614
     3,     3,  60449622
     3,     2,  60449629
     3,     1,  60449630
     3,     4,  60449642
     3,     0,  60656875
     3,     3,  60656882
     3,     0,  60886364
     3,     3,  60886374
     3,     1,  60886380
     3,     4,  60886391
     3,     0,  60906433
     3,     3,  60906446
     3,     2,  60906447
     3,     1,  60906451
     3,     4,  60906461
     3,     0,  61258604
     3,     3,  61258617
     3,     2,  61258620
     3,     1,  61258624
     3,     4,  61258634
     3,     0,  61567754
     3,     3,  61567766
     3,     2,  61567771
     3,     3,  61706265
     3,     2,  61706266
     3,     1,  61706271
     3,     4,  61706282
     3,     0,  61857536
     3,     3,  61857913
     3,     1,  61875163
     3,     0,  61963883
     3,     3,  61963895
     3,     2,  61963896
     3,     1,  61963900
     3,     4,  61963915
     3,     2,  62787367
     3,     0,  62790735
     3,     3,  62790748
     3,     0,  63977155
     3,     3,  63977165
     3,     2,  63977171
     3,     1,  63977171
     3,     0,  64380954
     3,     1,  64380972
     3,     3,  64702464
     3,     2,  64702466
     3,     4,  64702481
     3,     0,  64986083
     3,     3,  64986093
     3,     2,  64986096
     3,     1,  64986100
     3,     4,  64986110
     3,     0,  65126096
     3,     2,  65126107
     3,     1,  65126110
     3,     4,  65126119
     3,     3,  65598277
     3,     0,  65710714
     3,     1,  65710733
     3,     2,  65945426
     3,     0,  65984436
     3,     1,  65984455
     3,     4,  65984463
     3,     0,  66141256
     3,     3,  66141264
     3,     2,  66141268
     3,     1,  66141270
     3,     4,  66141281
     3,     3,  66174204
     3,     1,  66174211
     3,     4,  66174221
     3,     0,  66226461
     3,     3,  66226476
     3,     2,  66226478
     3,     1,  66226482
     3,     4,  66226491
     3,     3,  66410366
     3,     1,  66410372
     3,     0,  66574571
     3,     3,  66574587
     3,     2,  66574587
     3,     1,  66574592
     3,     4,  66574602
     3,     0,  66616414
     3,     3,  66616423
     3,     1,  66616432
     3,     3,  67230946
     3,     0,  67250451
     3,     0,  67702944
