x,y
1.2589,4
1.5193,3
1.8334,5
2.2126,5
2.6701,8
3.2223,4
3.8886,10
4.6928,15
5.6632,23
6.8343,14
8.2476,26
9.9531,28
12.0114,47
14.4952,41
17.4927,42
21.1101,53
25.4755,52
30.7436,59
37.1012,67
44.7734,77
54.0323,89
65.2057,82
78.6898,96
94.9623,89
114.5998,105
138.2981,94
166.8972,101
201.4103,117
243.0604,87
293.3236,99
353.9807,80
427.1813,79
515.5193,78
622.1249,69
750.7757,57
906.0306,61
1093.3910,58
1319.4963,56
1592.3584,35
1921.6464,42
2319.0287,30
2798.5868,31
3377.3139,22
4075.7176,11
4918.5460,14
5935.6651,10
7163.1169,4
10431.9944,7
12589.2541,2
