time,signal1,signal2
0,0.63,1.18
1,2.75,-1.78
2,1.81,-0.07
3,2.22,-3.70
4,0.35,2.81
5,2.76,-2.59
6,-2.42,-1.65
7,-0.17,0.56
8,0.17,-0.95
9,2.74,-0.18
10,1.35,2.43
11,-0.90,0.34
12,-0.38,-1.41
13,-1.22,0.65
14,-0.79,-1.37
15,0.80,0.05
16,0.45,-2.00
17,2.07,-2.36
18,-2.33,-2.51
19,-2.51,0.27
20,0.95,-1.68
21,-4.54,1.48
22,1.55,-0.72
23,0.82,0.06
24,-1.70,0.84
25,3.57,1.57
26,1.32,0.20
27,-2.01,-0.29
28,3.44,-0.30
29,-0.67,-4.48
30,-3.03,3.54
31,-4.06,0.58
32,-0.98,-1.39
33,-7.48,0.65
34,0.68,-2.61
35,1.77,3.51
36,2.82,1.99
37,1.39,-1.33
38,-0.52,1.21
39,2.85,-3.41
40,1.32,-1.89
41,-1.22,1.67
42,-3.47,-0.58
43,4.06,4.12
44,0.58,2.23
45,0.38,-0.42
46,4.29,-2.36
47,0.97,1.08
48,3.52,-0.92
49,-1.33,1.35
50,1.66,-2.14
51,0.80,0.91
52,3.86,-0.65
53,-0.81,-2.81
54,-4.09,-0.18
55,-2.58,-1.71
56,-3.92,-0.63
57,2.31,1.18
58,2.85,-0.56
59,2.95,-0.18
60,1.55,1.01
61,-4.55,1.39
62,2.30,-0.99
63,1.90,2.22
64,0.92,3.67
65,-1.21,-0.91
66,0.74,1.17
67,-2.45,-2.37
68,0.52,-2.31
69,3.95,-5.52
70,-3.88,0.15
71,1.14,0.35
72,0.14,0.50
73,0.49,0.01
74,-0.82,2.12
75,1.50,1.53
76,0.76,-0.66
77,1.70,0.52
78,4.46,-0.85
79,-1.23,-3.72
80,1.45,-1.29
81,-0.23,0.96
82,-2.40,-1.61
83,0.46,0.11
84,0.38,-1.01
85,-1.60,-1.42
86,0.64,-0.53
87,-0.29,-5.42
88,1.34,-2.92
89,-0.65,1.19
90,0.10,0.02
91,-0.97,-2.47
92,0.43,-0.20
93,0.84,-1.62
94,-0.79,-2.00
95,0.20,-1.51
96,-2.00,0.75
97,0.01,1.47
98,-1.16,-0.35
99,0.17,-1.30
100,4.38,-2.03
101,1.14,-2.57
102,-2.52,2.45
103,0.86,4.14
104,0.22,0.46
105,-3.12,1.94
106,-1.41,-0.60
107,-1.40,-1.00
108,2.93,-1.11
109,0.19,0.79
110,2.02,0.73
