t,v
0.000,0.000
0.503,2.267
1.005,4.011
1.508,5.464
2.010,6.729
2.513,7.861
3.015,8.890
3.518,9.837
4.020,10.716
4.523,11.536
5.025,12.304
5.528,13.025
6.030,13.703
6.533,14.340
7.035,14.940
7.538,15.503
8.040,16.031
8.543,16.526
9.045,16.988
9.548,17.418
10.050,17.817
10.553,18.185
11.055,18.524
11.558,18.833
12.060,19.114
12.563,19.366
13.065,19.591
13.568,19.789
14.070,19.960
14.573,20.105
15.075,20.224
15.578,20.319
16.080,20.390
16.583,20.437
17.085,20.461
17.588,20.463
18.090,20.443
18.593,20.403
19.095,20.343
19.598,20.263
20.101,20.166
20.603,20.051
21.106,19.919
21.608,19.772
22.111,19.610
22.613,19.434
23.116,19.245
23.618,19.044
24.121,18.832
24.623,18.610
25.126,18.379
25.628,18.140
26.131,17.894
26.633,17.641
27.136,17.383
27.638,17.121
28.141,16.856
28.643,16.588
29.146,16.318
29.648,16.048
30.151,15.779
30.653,15.510
31.156,15.244
31.658,14.981
32.161,14.722
32.663,14.467
33.166,14.217
33.668,13.974
34.171,13.737
34.673,13.508
35.176,13.287
35.678,13.075
36.181,12.872
36.683,12.679
37.186,12.496
37.688,12.325
38.191,12.165
38.693,12.016
39.196,11.880
39.698,11.756
40.201,11.645
40.704,11.547
41.206,11.463
41.709,11.391
42.211,11.334
42.714,11.290
43.216,11.259
43.719,11.243
44.221,11.240
44.724,11.251
45.226,11.276
45.729,11.314
46.231,11.365
46.734,11.430
47.236,11.507
47.739,11.597
48.241,11.700
48.744,11.815
49.246,11.941
49.749,12.079
50.251,12.228
50.754,12.388
51.256,12.557
51.759,12.737
52.261,12.926
52.764,13.123
53.266,13.328
53.769,13.542
54.271,13.762
54.774,13.989
55.276,14.222
55.779,14.460
56.281,14.704
56.784,14.951
57.286,15.203
57.789,15.457
58.291,15.714
58.794,15.973
59.296,16.233
59.799,16.493
60.302,16.754
60.804,17.015
61.307,17.274
61.809,17.532
62.312,17.788
62.814,18.041
63.317,18.292
63.819,18.538
64.322,18.780
64.824,19.018
65.327,19.250
65.829,19.477
66.332,19.698
66.834,19.913
67.337,20.121
67.839,20.321
68.342,20.515
68.844,20.700
69.347,20.878
69.849,21.047
70.352,21.208
70.854,21.360
71.357,21.503
71.859,21.636
72.362,21.761
72.864,21.876
73.367,21.982
73.869,22.078
74.372,22.164
74.874,22.241
75.377,22.308
75.879,22.366
76.382,22.414
76.884,22.453
77.387,22.482
77.889,22.502
78.392,22.514
78.894,22.516
79.397,22.509
79.899,22.494
80.402,22.470
80.905,22.439
81.407,22.399
81.910,22.352
82.412,22.298
82.915,22.237
83.417,22.169
83.920,22.095
84.422,22.015
84.925,21.929
85.427,21.838
85.930,21.742
86.432,21.642
86.935,21.537
87.437,21.429
87.940,21.317
88.442,21.202
88.945,21.085
89.447,20.965
89.950,20.844
90.452,20.721
90.955,20.597
91.457,20.473
91.960,20.348
92.462,20.224
92.965,20.100
93.467,19.977
93.970,19.855
94.472,19.735
94.975,19.617
95.477,19.501
95.980,19.387
96.482,19.277
96.985,19.170
97.487,19.066
97.990,18.966
98.492,18.870
98.995,18.779
99.497,18.692
100.000,18.609
